,Product Name ,Product Cost,Link,Product_Img_Link,HighLight,Description,Specification,feedback ,seller
0,DOVE Men+Care Fresh & Clean 2in1 Shampoo+Conditioner  (340 ml),₹337,https://www.flipkart.com/dove-men-care-fresh-clean-2in1-shampoo-conditioner/p/itma0845a36a9bc4?pid=SMPGNP7SWTMHPMUZ&lid=LSTSMPGNP7SWTMHPMUZIYTFWZ&marketplace=FLIPKART&q=shampoo+and+conditioner&store=g9b%2Flcf%2Fqqm&otracker=search&fm=organic&iid=en_6so881l4oRYKhvXcafEzDeAtLxbNhwhKUCyJpk%2Fo4WeS4Qv6TMwtUx1kLDNG6jyxFmq2Axfq5x1howMxE8dqUw%3D%3D&ppt=None&ppn=None&ssid=k1e4nfh44g0000001687547468355&qH=1148f36cce7b3f9c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/x/h/p/-original-imagnwuqehpszbzy.jpeg?q=70,"Scalp Cleansing Shampoo Ideal For: Men Suitable For: All Hair Types Composition: Water, Sodium Laureth Sulfate, Cocamidopropyl Betaine, Dimethiconol and Trideceth-10 and TEA-Dodecylbenzenesulfonate, Sodium Chloride, Perfume, Carbomer, Sodium Hydroxide, Guar Hydroxypropyltrimonium Chloride, Disodium EDTA, Menthol, Citric Acid, Caffeine, Mentha Piperita (Peppermint) Leaf Extract, Sodium Benzoate, Limonene, Linalool",No Description,"Applied For	Scalp Cleansing
Other Traits	HELPS REDUCING HAIR FALL & STRENGTHENS HAIR : Onion Oil stimulates the scalp, promoting blood circulation ,Plant Keratin strengthens hair, and makes it frizz-free., MAKES HAIR SOFT & SMOOTH : Nourishing oils of Almond & Coconut penetrate into the hair shaft, making hair soft, smooth, and frizz-free., DETANGLES HAIR : Formulated with softening & nourishing natural ingredients, the Shampoo & Conditioner combo gently detangles hair & prevents breakage caused due to washing & styling., SAFE FOR CHEMICALLY TREATED HAIR : Made from all natural ingredients, the Shampoo & Conditioner combo does not do any harm & is suitable for all hair types. It is safe for coloured or chemically treated hair., NATURAL & TOXIN FREE : The Shampoo & Conditioner combo is completely free of Sulfates, Silicones, Parabens, Phthalates & Artificial Colors.
Net Quantity	2","Hi guy'sMy hair was very dry and frizzy and i was searching for a condition and shampoo that can cure them. I just get to know about this product and after using this I see a great improvement in my hairs So thankyou mama earth for such a great product in this price range!! 👍🏻👍🏻 :- Giving a fresh cool and smooth effect. Really good for hair :- I have always had a great experience with this product. I would like to buy this product again and again, because this product gives a lot of benefits to my body.",HonasaConsumerLtd4.6
9,BIOTIQUE Fresh Neem Anti Dandruff Shampoo With Conditioner  (180 ml),₹110,https://www.flipkart.com/biotique-fresh-neem-anti-dandruff-shampoo-conditioner/p/itm18e99a26bae25?pid=SMPFKXTHGDJYPYF4&lid=LSTSMPFKXTHGDJYPYF4BW0UIV&marketplace=FLIPKART&q=shampoo+and+conditioner&store=g9b%2Flcf%2Fqqm&otracker=search&fm=organic&iid=75a12d0f-38e9-499f-b03d-69206f5a690f.SMPFKXTHGDJYPYF4.SEARCH&ppt=None&ppn=None&ssid=k1e4nfh44g0000001687547468355&qH=1148f36cce7b3f9c,https://rukminim1.flixcart.com/image/612/612/xif0q/shampoo/v/p/p/-original-imaggrkxejeqrz7s.jpeg?q=70,Daily Care Shampoo Ideal For: Men & Women Suitable For: Normal Hair Composition: Neem,"This refreshing formula blends the natural sap of the margosa and euphorbia trees with the bhringraj herb to control dandruff. Eliminates the dryness, flaking and itching associated with dandruff. Special pH balanced formula is gentle enough for use every day. Leaves hair fresh, lustrous and full of natural body.","Applied For	Daily Care
Hair Type	Normal Hair
Composition	Neem
Container Type	Plastic Bottle
Ideal For	Men & Women
pack_of	1
Country of Origin	india","Its my frst use...i jus love it & pretty happy wth this...It has good fragrance & wrks so well on my hair..the texture is soft.it reduces my hairfall & my dandruff too...i am pretty happy.I recently ordered head & shoulder shampoo + conditioner cost me 450 ...But,belive me,,tht shampoo was the worst ever shampoo i hv ever come across.The shampoo was so watery,less fragrance,& you hv to take triple amount of it comparing to other normal shampoos to let the bubbles come out while washing..& af... :- It's NOT  the best shampoo for them who hv dandruff problem...(IF U WANT ANTI DANDRUFF SHAMPOO THEN GO FOR ""CLEAR"".. it's the best shampoo I can assure u)The smell of this product wow wow wow....❤❤❤❤.bt bt bt it takes much quantity to wash out hair bcz it doesn't create leather that much😑i think as this is a shampoo plus conditioner that's why...👍And it does ur hair ltl bit frizz The delivery boy bapi das is kind ,the product reach in gd condition 👍I'm editing this review after usin... :- I've been using this shampoo for a couple of months now. I'm not sure why but it's simply not showing any effect on me. I use it every alternate day and also massage my hair but my dandruff did not go at all. It did slightly decrease but still not at a satisfactory level where I can rate this product highly.Its actually disappointing as I was looking forward to this shampoo.Definitely will not be purchasing this again.",SURICYBCOMBazaar4.7
10,Phillauri Red Onion Black Seed Oil Ultimate Hair Care Kit (Shampoo + Hair Conditioner + Hair Oil)  (3 Items in the set),₹249,https://www.flipkart.com/phillauri-red-onion-black-seed-oil-ultimate-hair-care-kit-shampoo-conditioner-oil/p/itmedd9f559bf45e?pid=CBKGF6HDHFTZGV8F&lid=LSTCBKGF6HDHFTZGV8FYR7SER&marketplace=FLIPKART&q=shampoo+and+conditioner&store=g9b%2Flcf%2Fqqm&otracker=search&fm=organic&iid=en_6so881l4oRYKhvXcafEzDeAtLxbNhwhKUCyJpk%2Fo4WcMMfFP3Vb%2F%2Behq4i6iPo1%2FzYOSNJUk%2BjrS11Zh0GDrBA%3D%3D&ppt=None&ppn=None&ssid=k1e4nfh44g0000001687547468355&qH=1148f36cce7b3f9c,https://rukminim1.flixcart.com/image/612/612/xif0q/combo-kit/n/c/2/red-onion-black-seed-oil-ultimate-hair-care-kit-shampoo-hair-original-imagphux8akvfxrx.jpeg?q=70,Pack of: 3 For: Men & Women Includes Hair Care Combo Organic Product For Professional Care,"Get strong and lustrous hair with PHILLAURI Ultimate Onion Oil Hair Kit. This kit contains Onion Oil Shampoo, Onion Oil Conditioner and Onion Hair Oil which helps to revive your tired scalp and hair. Red onion extract, black seed oil aid in rejuvenating tired scalp and weak hair. This red onion extract and black seed oil infused in the shampoo, conditioner & hair oil improves circulation to the scalp and roots. The ultimate kit works on your hair to cleanse away buildup and improve quality of strands. It helps to give strong, lustrous hair and keep it healthy. It aids in moisturizing the scalp and helps nourish the roots. Contains no parabens, sulphates, color or silicones and helps to deliver maximum benefit.","Model Number	Red Onion Black Seed Oil Hair Care Kit (Shampoo + Hair Conditioner + Hair Oil)
Sales Package	100ml Blackseed Onion Hair Oil, 300ml Red Onion Shampoo, 300ml Hair Conditioner
Ideal For	Men & Women
Type	Hair Care Combo
Country of Origin	INDIA
Net Quantity	3","It is best combo for hair and it gives nice shine and long hair and also regrowth long hair nice price and worthy product :- One of the best combo in this price range. Onion oil is good for hair strength. Shampoo gives a good shine. The conditioner is also good. Good experience. :- The smell of this kit is absolutely wonderful. It's not overpowering or artificial, but rather a subtle and natural scent that lingers in your hair throughout the day.When I use the shampoo, it lathers well and makes my hair feel clean without stripping it of its natural oils. The conditioner is thick and luxurious, and leaves my hair feeling silky and smooth.I noticed that my hair was significantly less frizzy and had more shine. And after several weeks, I've noticed a real improvement in ...",PhillauriCare4.3
